Artist,Title
Morgan Wallen,Last Night
Luke Combs,Fast Car
Olivia Rodrigo,Vampire
Rema & Selena Gomez,Calm Down
Taylor Swift,I Can See You (Taylor's Version) (From The Vault)
Miley Cyrus,Flowers
Gunna,Fukumean
Lil Durk Featuring J. Cole,All My Life
Taylor Swift,Cruel Summer
Taylor Swift Featuring Ice Spice,Karma
SZA,Kill Bill
SZA,Snooze
Toosii,Favorite Song
"Metro Boomin, The Weeknd & 21 Savage",Creepin'
Taylor Swift,Mine (Taylor's Version)
Taylor Swift,Back To December (Taylor's Version)
Jelly Roll,Need A Favor
Miguel,Sure Thing
Taylor Swift,Enchanted (Taylor's Version)
Taylor Swift,Anti-Hero
Zach Bryan,Something In The Orange
Taylor Swift,Sparks Fly (Taylor's Version)
Eslabon Armado X Peso Pluma,Ella Baila Sola
The Weeknd & Ariana Grande,Die For You
Morgan Wallen,You Proof
Taylor Swift,Dear John (Taylor's Version)
Fifty Fifty,Cupid
Taylor Swift,Better Than Revenge (Taylor's Version)
Bailey Zimmerman,Religiously
Morgan Wallen,Thinkin' Bout Me
Taylor Swift Featuring Hayley Williams,Castles Crumbling (Taylor's Version) (From The Vault)
Dua Lipa,Dance The Night
Taylor Swift,Speak Now (Taylor's Version)
Taylor Swift,When Emma Falls In Love (Taylor's Version) (From The Vault)
Taylor Swift Featuring Fall Out Boy,Electric Touch (Taylor's Version) (From The Vault)
Ed Sheeran,Eyes Closed
Yng Lvcas x Peso Pluma,La Bebe
Jordan Davis,Next Thing You Know
Taylor Swift,Mean (Taylor's Version)
Taylor Swift,Foolish One (Taylor's Version) (From The Vault)
Old Dominion,Memory Lane
Taylor Swift,The Story Of Us (Taylor's Version)
Drake,Search & Rescue
Grupo Frontera X Bad Bunny,Un x100to
Morgan Wallen,Thought You Should Know
Tyler Hubbard,Dancin' In The Country
David Guetta & Bebe Rexha,I'm Good (Blue)
Taylor Swift,Timeless (Taylor's Version) (From The Vault)
Nicki Minaj & Ice Spice With Aqua,Barbie World
Taylor Swift,Haunted (Taylor's Version)
Bad Bunny,Where She Goes
Kane Brown,Bury Me In Georgia
Taylor Swift,Long Live (Taylor's Version)
Latto Featuring Cardi B,Put It On Da Floor Again
Post Malone,Chemical
Luke Combs,Love You Anyway
Taylor Swift,Last Kiss (Taylor's Version)
Taylor Swift,Never Grow Up (Taylor's Version)
Fuerza Regida,Sabor Fresa
Lil Uzi Vert,Flooded The Face
Kaliii,Area Codes
Peso Pluma & Grupo Frontera,Tulum
Taylor Swift,Innocent (Taylor's Version)
Ice Spice & Nicki Minaj,Princess Diana
"Peso Pluma, Gabito Ballesteros & Junior H",Lady Gaga
NewJeans,Super Shy
Doechii Featuring Kodak Black,What It Is (Block Boy)
Fuerza Regida,TQM
Taylor Swift,Ours (Taylor's Version)
Young Nudy Featuring 21 Savage,Peaches & Eggplants
Lil Durk Featuring Morgan Wallen,Stand By Me
Jon Pardi,Your Heart Or Mine
David Kushner,Daylight
Taylor Swift,Superman (Taylor's Version)
Justin Moore & Priscilla Block,"You, Me, & Whiskey"
Lil Uzi Vert Featuring Nicki Minaj,Endless Fashion
"David Guetta, Anne-Marie & Coi Leray",Baby Don't Hurt Me
Young Thug Featuring Drake,Oh U Went
Post Malone,Mourning
"The Weeknd, Playboi Carti & Madonna",Popular
Bizarrap & Peso Pluma,"Bzrp Music Sessions, Vol. 55"
FendiDa Rappa With Cardi B,Point Me 2
Lainey Wilson,Watermelon Moonshine
Peso Pluma,Bye
Peso Pluma & Junior H,Luna
DaBaby,Shake Sumn
Morgan Wallen,Everything I Love
Karol G x Shakira,TQG
Peso Pluma,Por Las Noches
Myke Towers,LaLa
Yahritza y Su Esencia x Grupo Frontera,Fragil
Peso Pluma & Jasiel Nunez,Lagunas
Peso Pluma,Rubicon
Junior H x Peso Pluma,El Azul
Morgan Wallen Featuring ERNEST,Cowgirls
Sexyy Red & Tay Keith & Nicki Minaj,Pound Town 2
"Tyler, The Creator Featuring Kali Uchis",See You Again
Rod Wave,Fight The Feeling
Tainy & Bad Bunny,Mojabi Ghost
Jonas Brothers,Waffle House
